Metric,Value,Prior Dataset,Train/Test Dataset,Variance Ratio,Distance,Seed
Bray-Curtis,0.22263941168785095,MetaCardis_2020_a,QinJ_2012,0.001,hellinger,7
Aitchison,549.4669189453125,MetaCardis_2020_a,QinJ_2012,0.001,hellinger,7
Hellinger,0.0158736240118742,MetaCardis_2020_a,QinJ_2012,0.001,hellinger,7
Geodesic,0.598943293094635,MetaCardis_2020_a,QinJ_2012,0.001,hellinger,7
Bray-Curtis,0.19572468101978302,MetaCardis_2020_a,QinJ_2012,0.01,hellinger,7
Aitchison,471.4061584472656,MetaCardis_2020_a,QinJ_2012,0.01,hellinger,7
Hellinger,0.014250135980546474,MetaCardis_2020_a,QinJ_2012,0.01,hellinger,7
Geodesic,0.5306898355484009,MetaCardis_2020_a,QinJ_2012,0.01,hellinger,7
Bray-Curtis,0.1914646178483963,MetaCardis_2020_a,QinJ_2012,0.03,hellinger,7
Aitchison,449.83642578125,MetaCardis_2020_a,QinJ_2012,0.03,hellinger,7
Hellinger,0.0136409318074584,MetaCardis_2020_a,QinJ_2012,0.03,hellinger,7
Geodesic,0.5324510931968689,MetaCardis_2020_a,QinJ_2012,0.03,hellinger,7
Bray-Curtis,0.19516052305698395,MetaCardis_2020_a,QinJ_2012,0.1,hellinger,7
Aitchison,454.66839599609375,MetaCardis_2020_a,QinJ_2012,0.1,hellinger,7
Hellinger,0.013640415854752064,MetaCardis_2020_a,QinJ_2012,0.1,hellinger,7
Geodesic,0.5485532283782959,MetaCardis_2020_a,QinJ_2012,0.1,hellinger,7
Bray-Curtis,0.1986960917711258,MetaCardis_2020_a,QinJ_2012,0.3,hellinger,7
Aitchison,470.04913330078125,MetaCardis_2020_a,QinJ_2012,0.3,hellinger,7
Hellinger,0.01381696853786707,MetaCardis_2020_a,QinJ_2012,0.3,hellinger,7
Geodesic,0.559762716293335,MetaCardis_2020_a,QinJ_2012,0.3,hellinger,7
Bray-Curtis,0.20138345658779144,MetaCardis_2020_a,QinJ_2012,1.0,hellinger,7
Aitchison,482.000244140625,MetaCardis_2020_a,QinJ_2012,1.0,hellinger,7
Hellinger,0.013999558985233307,MetaCardis_2020_a,QinJ_2012,1.0,hellinger,7
Geodesic,0.5676717758178711,MetaCardis_2020_a,QinJ_2012,1.0,hellinger,7
Bray-Curtis,0.20339660346508026,MetaCardis_2020_a,QinJ_2012,3.0,hellinger,7
Aitchison,491.464599609375,MetaCardis_2020_a,QinJ_2012,3.0,hellinger,7
Hellinger,0.014167539775371552,MetaCardis_2020_a,QinJ_2012,3.0,hellinger,7
Geodesic,0.5730037689208984,MetaCardis_2020_a,QinJ_2012,3.0,hellinger,7
Bray-Curtis,0.20575186610221863,MetaCardis_2020_a,QinJ_2012,10.0,hellinger,7
Aitchison,507.75439453125,MetaCardis_2020_a,QinJ_2012,10.0,hellinger,7
Hellinger,0.014385984279215336,MetaCardis_2020_a,QinJ_2012,10.0,hellinger,7
Geodesic,0.5779299736022949,MetaCardis_2020_a,QinJ_2012,10.0,hellinger,7
Bray-Curtis,0.20813775062561035,MetaCardis_2020_a,QinJ_2012,30.0,hellinger,7
Aitchison,523.7890625,MetaCardis_2020_a,QinJ_2012,30.0,hellinger,7
Hellinger,0.014608736149966717,MetaCardis_2020_a,QinJ_2012,30.0,hellinger,7
Geodesic,0.5816689729690552,MetaCardis_2020_a,QinJ_2012,30.0,hellinger,7
Bray-Curtis,0.21102330088615417,MetaCardis_2020_a,QinJ_2012,100.0,hellinger,7
Aitchison,540.7395629882812,MetaCardis_2020_a,QinJ_2012,100.0,hellinger,7
Hellinger,0.01487070880830288,MetaCardis_2020_a,QinJ_2012,100.0,hellinger,7
Geodesic,0.5860387086868286,MetaCardis_2020_a,QinJ_2012,100.0,hellinger,7
Bray-Curtis,0.21351614594459534,MetaCardis_2020_a,QinJ_2012,300.0,hellinger,7
Aitchison,554.1700439453125,MetaCardis_2020_a,QinJ_2012,300.0,hellinger,7
Hellinger,0.015101706609129906,MetaCardis_2020_a,QinJ_2012,300.0,hellinger,7
Geodesic,0.590020477771759,MetaCardis_2020_a,QinJ_2012,300.0,hellinger,7
Bray-Curtis,0.21619053184986115,MetaCardis_2020_a,QinJ_2012,inf,hellinger,7
Aitchison,568.8782348632812,MetaCardis_2020_a,QinJ_2012,inf,hellinger,7
Hellinger,0.01535546313971281,MetaCardis_2020_a,QinJ_2012,inf,hellinger,7
Geodesic,0.594606876373291,MetaCardis_2020_a,QinJ_2012,inf,hellinger,7
Bray-Curtis,0.35982078313827515,MetaCardis_2020_a,KarlssonFH_2013,0.001,hellinger,7
Aitchison,565.52490234375,MetaCardis_2020_a,KarlssonFH_2013,0.001,hellinger,7
Hellinger,0.012455814518034458,MetaCardis_2020_a,KarlssonFH_2013,0.001,hellinger,7
Geodesic,1.1796787977218628,MetaCardis_2020_a,KarlssonFH_2013,0.001,hellinger,7
Bray-Curtis,0.2790724039077759,MetaCardis_2020_a,KarlssonFH_2013,0.01,hellinger,7
Aitchison,495.5869140625,MetaCardis_2020_a,KarlssonFH_2013,0.01,hellinger,7
Hellinger,0.009670155122876167,MetaCardis_2020_a,KarlssonFH_2013,0.01,hellinger,7
Geodesic,1.0120925903320312,MetaCardis_2020_a,KarlssonFH_2013,0.01,hellinger,7
Bray-Curtis,0.2132905125617981,MetaCardis_2020_a,KarlssonFH_2013,0.03,hellinger,7
Aitchison,454.871337890625,MetaCardis_2020_a,KarlssonFH_2013,0.03,hellinger,7
Hellinger,0.007866309024393559,MetaCardis_2020_a,KarlssonFH_2013,0.03,hellinger,7
Geodesic,0.8168121576309204,MetaCardis_2020_a,KarlssonFH_2013,0.03,hellinger,7
Bray-Curtis,0.1799459457397461,MetaCardis_2020_a,KarlssonFH_2013,0.1,hellinger,7
Aitchison,435.1611328125,MetaCardis_2020_a,KarlssonFH_2013,0.1,hellinger,7
